Organism,Antibiotics,Year,R,S
Enterobacter spp,Amikacin,2004,87,1663
Enterobacter spp,Amikacin,2005,144,1726
Enterobacter spp,Amikacin,2006,265,2348
Enterobacter spp,Amikacin,2007,320,3199
Enterobacter spp,Amikacin,2008,414,2925
Enterobacter spp,Amikacin,2009,430,3316
Enterobacter spp,Amikacin,2010,265,2744
Enterobacter spp,Amikacin,2011,140,2206
Enterobacter spp,Amikacin,2012,153,2691
Enterobacter spp,Amikacin,2013,230,3624
Enterobacter spp,Amikacin,2014,175,3192
Enterobacter spp,Amikacin,2015,191,3112
Enterobacter spp,Amikacin,2016,157,3490
Enterobacter spp,Amikacin,2017,152,2917
Enterobacter spp,Amikacin,2018,159,2737
Enterobacter spp,Amikacin,2019,115,2056
Enterobacter spp,Amikacin,2020,107,2234
Enterobacter spp,Amikacin,2021,116,2278
Enterobacter spp,Amikacin,2022,85,2129
Enterobacter spp,Amoxycillin clavulanate,2004,1692,58
Enterobacter spp,Amoxycillin clavulanate,2005,1821,49
Enterobacter spp,Amoxycillin clavulanate,2006,2525,88
Enterobacter spp,Amoxycillin clavulanate,2007,3388,131
Enterobacter spp,Amoxycillin clavulanate,2008,3213,126
Enterobacter spp,Amoxycillin clavulanate,2009,3621,125
Enterobacter spp,Amoxycillin clavulanate,2010,2906,103
Enterobacter spp,Amoxycillin clavulanate,2011,2265,81
Enterobacter spp,Amoxycillin clavulanate,2012,2675,169
Enterobacter spp,Amoxycillin clavulanate,2013,3729,125
Enterobacter spp,Amoxycillin clavulanate,2014,3215,152
Enterobacter spp,Amoxycillin clavulanate,2015,3184,119
Enterobacter spp,Amoxycillin clavulanate,2016,3529,118
Enterobacter spp,Amoxycillin clavulanate,2017,2982,87
Enterobacter spp,Amoxycillin clavulanate,2018,2821,75
Enterobacter spp,Amoxycillin clavulanate,2019,2091,80
Enterobacter spp,Amoxycillin clavulanate,2020,2242,99
Enterobacter spp,Amoxycillin clavulanate,2021,2300,94
Enterobacter spp,Amoxycillin clavulanate,2022,2108,106
Enterobacter spp,Ampicillin,2004,1699,50
Enterobacter spp,Ampicillin,2005,1821,47
Enterobacter spp,Ampicillin,2006,2547,38
Enterobacter spp,Ampicillin,2007,3408,67
Enterobacter spp,Ampicillin,2008,3183,156
Enterobacter spp,Ampicillin,2009,3604,142
Enterobacter spp,Ampicillin,2010,2911,98
Enterobacter spp,Ampicillin,2011,2255,91
Enterobacter spp,Ampicillin,2012,2694,150
Enterobacter spp,Ampicillin,2013,3604,250
Enterobacter spp,Ampicillin,2014,3101,266
Enterobacter spp,Ampicillin,2015,3082,221
Enterobacter spp,Ampicillin,2016,3417,230
Enterobacter spp,Ampicillin,2017,2866,203
Enterobacter spp,Ampicillin,2018,2657,239
Enterobacter spp,Ampicillin,2019,2015,156
Enterobacter spp,Ampicillin,2020,2177,164
Enterobacter spp,Ampicillin,2021,2249,145
Enterobacter spp,Ampicillin,2022,2027,187
Enterobacter spp,Cefepime,2004,263,1487
Enterobacter spp,Cefepime,2005,354,1516
Enterobacter spp,Cefepime,2006,541,2072
Enterobacter spp,Cefepime,2007,651,2868
Enterobacter spp,Cefepime,2008,801,2538
Enterobacter spp,Cefepime,2009,889,2857
Enterobacter spp,Cefepime,2010,680,2329
Enterobacter spp,Cefepime,2011,460,1886
Enterobacter spp,Cefepime,2012,601,2243
Enterobacter spp,Cefepime,2013,736,3118
Enterobacter spp,Cefepime,2014,644,2723
Enterobacter spp,Cefepime,2015,628,2675
Enterobacter spp,Cefepime,2016,718,2929
Enterobacter spp,Cefepime,2017,649,2420
Enterobacter spp,Cefepime,2018,687,2475
Enterobacter spp,Cefepime,2019,515,1958
Enterobacter spp,Cefepime,2020,552,2017
Enterobacter spp,Cefepime,2021,536,2092
Enterobacter spp,Cefepime,2022,538,2176
Enterobacter spp,Ceftazidime,2005,2,0
Enterobacter spp,Ceftazidime,2006,6,0
Enterobacter spp,Ceftazidime,2007,20,0
Enterobacter spp,Ceftazidime,2008,4,0
Enterobacter spp,Ceftazidime,2009,6,2
Enterobacter spp,Ceftazidime,2010,1063,704
Enterobacter spp,Ceftazidime,2011,706,1624
Enterobacter spp,Ceftazidime,2012,883,1952
Enterobacter spp,Ceftazidime,2013,1205,2649
Enterobacter spp,Ceftazidime,2014,1059,2308
Enterobacter spp,Ceftazidime,2015,1070,2233
Enterobacter spp,Ceftazidime,2016,1070,2577
Enterobacter spp,Ceftazidime,2017,957,2112
Enterobacter spp,Ceftazidime,2018,1098,2064
Enterobacter spp,Ceftazidime,2019,827,1646
Enterobacter spp,Ceftazidime,2020,869,1700
Enterobacter spp,Ceftazidime,2021,872,1756
Enterobacter spp,Ceftazidime,2022,882,1832
Enterobacter spp,Ceftriaxone,2004,588,1162
Enterobacter spp,Ceftriaxone,2005,702,1168
Enterobacter spp,Ceftriaxone,2006,993,1620
Enterobacter spp,Ceftriaxone,2007,1322,2197
Enterobacter spp,Ceftriaxone,2008,1472,1867
Enterobacter spp,Ceftriaxone,2009,1672,2074
Enterobacter spp,Ceftriaxone,2010,1296,1713
Enterobacter spp,Ceftriaxone,2011,858,1488
Enterobacter spp,Ceftriaxone,2012,754,1336
Enterobacter spp,Ceftriaxone,2013,1005,1762
Enterobacter spp,Ceftriaxone,2014,803,1460
Enterobacter spp,Ceftriaxone,2015,893,1459
Enterobacter spp,Ceftriaxone,2016,1280,2367
Enterobacter spp,Ceftriaxone,2017,1120,1949
Enterobacter spp,Imipenem,2004,71,1609
Enterobacter spp,Imipenem,2005,62,1725
Enterobacter spp,Imipenem,2006,32,1487
Enterobacter spp,Imipenem,2007,2,105
Enterobacter spp,Imipenem,2008,0,3
Enterobacter spp,Imipenem,2012,51,703
Enterobacter spp,Imipenem,2013,68,1019
Enterobacter spp,Imipenem,2014,94,1010
Enterobacter spp,Imipenem,2015,125,860
Enterobacter spp,Imipenem,2016,118,1164
Enterobacter spp,Imipenem,2017,105,1057
Enterobacter spp,Imipenem,2018,259,2637
Enterobacter spp,Imipenem,2019,266,1905
Enterobacter spp,Imipenem,2020,303,2038
Enterobacter spp,Imipenem,2021,292,2102
Enterobacter spp,Imipenem,2022,181,2033
Enterobacter spp,Levofloxacin,2004,240,1510
Enterobacter spp,Levofloxacin,2005,324,1546
Enterobacter spp,Levofloxacin,2006,508,2105
Enterobacter spp,Levofloxacin,2007,656,2863
Enterobacter spp,Levofloxacin,2008,781,2558
Enterobacter spp,Levofloxacin,2009,857,2889
Enterobacter spp,Levofloxacin,2010,710,2299
Enterobacter spp,Levofloxacin,2011,425,1921
Enterobacter spp,Levofloxacin,2012,469,2375
Enterobacter spp,Levofloxacin,2013,643,3211
Enterobacter spp,Levofloxacin,2014,526,2841
Enterobacter spp,Levofloxacin,2015,571,2732
Enterobacter spp,Levofloxacin,2016,574,3073
Enterobacter spp,Levofloxacin,2017,495,2574
Enterobacter spp,Levofloxacin,2018,544,2618
Enterobacter spp,Levofloxacin,2019,416,2057
Enterobacter spp,Levofloxacin,2020,432,2137
Enterobacter spp,Levofloxacin,2021,435,2193
Enterobacter spp,Levofloxacin,2022,413,2301
Enterobacter spp,Meropenem,2004,1,69
Enterobacter spp,Meropenem,2005,3,80
Enterobacter spp,Meropenem,2006,29,1065
Enterobacter spp,Meropenem,2007,80,3332
Enterobacter spp,Meropenem,2008,160,3176
Enterobacter spp,Meropenem,2009,144,3602
Enterobacter spp,Meropenem,2010,48,2961
Enterobacter spp,Meropenem,2011,39,2307
Enterobacter spp,Meropenem,2012,36,2808
Enterobacter spp,Meropenem,2013,94,3760
Enterobacter spp,Meropenem,2014,77,3290
Enterobacter spp,Meropenem,2015,118,3185
Enterobacter spp,Meropenem,2016,110,3537
Enterobacter spp,Meropenem,2017,98,2971
Enterobacter spp,Meropenem,2018,119,3043
Enterobacter spp,Meropenem,2019,140,2333
Enterobacter spp,Meropenem,2020,112,2457
Enterobacter spp,Meropenem,2021,142,2486
Enterobacter spp,Meropenem,2022,125,2589
Enterobacter spp,Minocycline,2004,272,1478
Enterobacter spp,Minocycline,2005,328,1542
Enterobacter spp,Minocycline,2006,545,2068
Enterobacter spp,Minocycline,2007,804,2715
Enterobacter spp,Minocycline,2008,1179,2160
Enterobacter spp,Minocycline,2009,1623,2123
Enterobacter spp,Minocycline,2010,1494,1515
Enterobacter spp,Minocycline,2011,569,1777
Enterobacter spp,Minocycline,2012,297,1793
